	index	ID	GENRE
0	1	0064354	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
1	2	0100680	b'gANdcQAoWAUAAABEcmFtYXEBWAcAAABSb21hbmNlcQJlLg=='
2	3	0100680	b'gANdcQAoWAUAAABEcmFtYXEBWAcAAABSb21hbmNlcQJlLg=='
3	4	0100680	b'gANdcQAoWAUAAABEcmFtYXEBWAcAAABSb21hbmNlcQJlLg=='
4	5	0047200	b'gANdcQAoWAYAAABIb3Jyb3JxAVgHAAAATXlzdGVyeXECWAgAAABUaHJpbGxlcnEDZS4='
5	6	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
6	7	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
7	8	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
8	9	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
9	10	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
10	11	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
11	12	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
12	13	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
13	14	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
14	15	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
15	16	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
16	17	0893406	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgFAAAARHJhbWFxA1gIAAAAVGhyaWxsZXJxBGUu'
17	18	0277931	b'gANdcQBYBQAAAFNob3J0cQFhLg=='
18	19	0277931	b'gANdcQBYBQAAAFNob3J0cQFhLg=='
19	20	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
20	21	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
21	22	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
22	23	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
23	24	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
24	25	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
25	26	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
26	27	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
27	28	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
28	29	0479948	b'gANdcQAoWAYAAABBY3Rpb25xAVgFAAAAQ3JpbWVxAlgIAAAAVGhyaWxsZXJxA2Uu'
29	30	0101829	b'gANdcQAoWAUAAABEcmFtYXEBWAgAAABUaHJpbGxlcnECZS4='
30	31	0127388	b'gANdcQAoWAYAAABBY3Rpb25xAVgJAAAAQWR2ZW50dXJlcQJYBgAAAENvbWVkeXEDWAYAAABGYW1pbHlxBFgGAAAAU2NpLUZpcQVlLg=='
31	32	0127388	b'gANdcQAoWAYAAABBY3Rpb25xAVgJAAAAQWR2ZW50dXJlcQJYBgAAAENvbWVkeXEDWAYAAABGYW1pbHlxBFgGAAAAU2NpLUZpcQVlLg=='
32	33	0127388	b'gANdcQAoWAYAAABBY3Rpb25xAVgJAAAAQWR2ZW50dXJlcQJYBgAAAENvbWVkeXEDWAYAAABGYW1pbHlxBFgGAAAAU2NpLUZpcQVlLg=='
33	34	0127388	b'gANdcQAoWAYAAABBY3Rpb25xAVgJAAAAQWR2ZW50dXJlcQJYBgAAAENvbWVkeXEDWAYAAABGYW1pbHlxBFgGAAAAU2NpLUZpcQVlLg=='
34	35	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
35	36	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
36	37	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
37	38	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
38	39	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
39	40	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
40	41	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
41	42	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
42	43	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
43	44	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
44	45	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
45	46	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
46	47	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
47	48	0080486	b'gANdcQBYBgAAAEhvcnJvcnEBYS4='
48	49	0114366	b'gANdcQAoWAUAAABDcmltZXEBWAgAAABUaHJpbGxlcnECZS4='
49	50	0114366	b'gANdcQAoWAUAAABDcmltZXEBWAgAAABUaHJpbGxlcnECZS4='
50	51	0117382	b'gANdcQAoWAYAAABIb3Jyb3JxAVgIAAAAVGhyaWxsZXJxAmUu'
51	52	0220631	b'gANdcQAoWAUAAABEcmFtYXEBWAMAAABXYXJxAmUu'
52	53	0220631	b'gANdcQAoWAUAAABEcmFtYXEBWAMAAABXYXJxAmUu'
53	54	0220631	b'gANdcQAoWAUAAABEcmFtYXEBWAMAAABXYXJxAmUu'
54	55	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
55	56	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
56	57	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
57	58	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
58	59	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
59	60	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
60	61	0087951	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
61	62	0073766	b'gANdcQBYBgAAAENvbWVkeXEBYS4='
62	63	0031999	b'gANdcQAoWAcAAABNdXNpY2FscQFYBQAAAERyYW1hcQJlLg=='
63	64	0099300	b'gANdcQBYBQAAAERyYW1hcQFhLg=='
64	65	0099300	b'gANdcQBYBQAAAERyYW1hcQFhLg=='
65	66	0213446	b'gANdcQBYBQAAAERyYW1hcQFhLg=='
66	67	0277941	b'gANdcQAoWAYAAABBY3Rpb25xAVgJAAAAQWR2ZW50dXJlcQJYCQAAAEJpb2dyYXBoeXEDWAUAAABDcmltZXEEWAcAAABIaXN0b3J5cQVYBwAAAFJvbWFuY2VxBlgHAAAAV2VzdGVybnEHZS4='
